Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc
03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,315,4,Hollenbeck,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,M,O,203,OTHER BUSINESS
03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,430,4,Hollenbeck,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,501,SINGLE FAMILY DWELLING
08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900,11,Northeast,662,"BUNCO, GRAND THEFT",51,F,W,501,SINGLE FAMILY DWELLING
04/23/2021 12:00:00 AM,12/01/2020 12:00:00 AM,1200,1,Central,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,M,O,726,POLICE FACILITY
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,245,1,Central,350,"THEFT, PERSON",44,M,B,102,SIDEWALK
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,325,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,M,A,122,"VEHICLE, PASSENGER/TRUCK"
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,30,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,M,O,108,PARKING LOT
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,M,W,101,STREET
06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2200,8,West LA,624,BATTERY - SIMPLE ASSAULT,24,M,W,514,GROUP HOME
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,1,Central,310,BURGLARY,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,500,1,Central,860,BATTERY WITH SEXUAL CONTACT,18,F,B,900,MTA - RED LINE - UNION STATION
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,B,102,SIDEWALK
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,344,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,203,OTHER BUSINESS
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1030,1,Central,480,BIKE - STOLEN,23,M,A,210,RESTAURANT/FAST FOOD
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,122,"VEHICLE, PASSENGER/TRUCK"
12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,300,3,Southwest,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,54,F,W,501,SINGLE FAMILY DWELLING
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,905,1,Central,623,BATTERY POLICE (SIMPLE),0,X,X,902,MTA - RED LINE - PERSHING SQUARE
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,905,1,Central,623,BATTERY POLICE (SIMPLE),0,X,X,902,MTA - RED LINE - PERSHING SQUARE
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,200,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,A,735,NIGHT CLUB (OPEN EVENINGS ONLY)
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2330,1,Central,624,BATTERY - SIMPLE ASSAULT,28,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
07/23/2020 12:00:00 AM,06/22/2020 12:00:00 AM,2005,8,West LA,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",42,F,W,501,SINGLE FAMILY DWELLING
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2045,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,B,101,STREET
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1940,1,Central,624,BATTERY - SIMPLE ASSAULT,46,M,H,102,SIDEWALK
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1800,1,Central,624,BATTERY - SIMPLE ASSAULT,56,F,O,101,STREET
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,O,108,PARKING LOT
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1830,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2315,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,X,122,"VEHICLE, PASSENGER/TRUCK"
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,545,1,Central,310,BURGLARY,0,X,X,210,RESTAURANT/FAST FOOD
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,345,1,Central,510,VEHICLE - STOLEN,0,,,108,PARKING LOT
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2000,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),67,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,300,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,1,Central,330,BURGLARY FROM VEHICLE,37,F,H,101,STREET
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,820,1,Central,210,ROBBERY,0,X,X,403,DRUG STORE
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1225,1,Central,624,BATTERY - SIMPLE ASSAULT,60,M,O,101,STREET
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1305,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,H,404,DEPARTMENT STORE
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,1,Central,310,BURGLARY,51,M,O,707,GARAGE/CARPORT
12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1203,9,Van Nuys,900,VIOLATION OF COURT ORDER,52,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1240,1,Central,210,ROBBERY,61,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
